Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos,cWPA,RE24,Pos
Jun 17 (1),NYY,@,CLE,W15-4,CG,6,5,3,2,1,0,0,3,1,0,0,0,0,,1,,0,0,0.359,0.383,0.602,0.985,3,0.52,0.127,3.05,0.45%,2.02,LF,0.45%,2.02,LF
Jun 17 (2),NYY,@,CLE,W12-2,CG,5,4,1,1,1,0,0,0,1,0,0,0,0,,0,,0,0,0.357,0.383,0.6,0.983,3,0.37,-0.019,2.15,-0.07%,-0.23,LF,-0.07%,-0.23,LF
18-Jun,NYY,@,CLE,W6-5,CG,4,4,1,1,0,0,0,1,0,0,0,0,0,,0,,0,0,0.354,0.381,0.593,0.973,3,1.23,-0.017,6.87,-0.06%,-0.19,LF,-0.06%,-0.19,LF
19-Jun,NYY,@,DET,W5-2,CG,5,5,1,2,1,0,0,1,0,0,0,0,0,,0,,0,0,0.356,0.381,0.593,0.974,3,0.67,-0.042,3.53,-0.13%,-1.07,LF,-0.13%,-1.07,LF
20-Jun,NYY,@,DET,L0-5,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,,0,,0,0,0.348,0.374,0.581,0.955,3,0.66,-0.073,3.4,-0.23%,-1.25,LF,-0.23%,-1.25,LF
21-Jun,NYY,@,DET,L7-8,CG,5,5,1,2,0,0,1,2,0,0,1,0,0,,1,,0,0,0.35,0.374,0.591,0.966,3,0.72,0.182,3.7,0.56%,2.76,LF,0.56%,2.76,LF
22-Jun,NYY,@,CHW,W9-6,CG,5,5,2,2,0,0,0,0,0,0,0,0,0,,1,,0,0,0.351,0.375,0.587,0.962,3,1.13,0.055,6.27,0.18%,0.33,LF,0.18%,0.33,LF
23-Jun,NYY,@,CHW,L4-13,CG,5,5,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0.343,0.367,0.573,0.939,3,0.76,-0.128,3.79,-0.38%,-1.9,LF,-0.38%,-1.9,LF
24-Jun,NYY,@,CHW,W18-11,CG,6,6,3,4,2,0,2,5,0,0,0,0,0,,0,,0,0,0.352,0.374,0.612,0.986,3,0.92,0.278,5,0.91%,4.37,RF,0.91%,4.37,RF
25-Jun,NYY,@,CHW,W7-6,CG,4,4,1,1,0,0,0,1,0,0,1,0,0,,0,,0,0,0.35,0.372,0.605,0.978,3,1.02,0.044,5.18,0.13%,0.31,RF,0.13%,0.31,RF
27-Jun,NYY,@,SLB,W10-6,CG,6,6,2,3,1,0,1,1,0,0,0,0,0,,0,,0,0,0.354,0.376,0.62,0.996,3,0.53,0.152,2.47,0.43%,0.9,RF,0.43%,0.9,RF
